title,authors,year,doi,url,publisher,type,reference_count,is_referenced_by_count
Ferguson Plot Analysis of Chaperone Clpb From Moderate Halophile,"Teruo Akuta, Yui Tomioka, Masataka Nakagawa, Tsutomu Arakawa",2024,10.2139/ssrn.4771528,https://doi.org/10.2139/ssrn.4771528,Elsevier BV,posted-content,42,0
Raman spectroscopy in halophile research,"Jan Jehlička, Aharon Oren",2013,10.3389/fmicb.2013.00380,https://doi.org/10.3389/fmicb.2013.00380,Frontiers Media SA,journal-article,0,39
The effects of ultraviolet radiation on the moderate halophile &lt;i&gt;Halomonas elongata&lt;/i&gt; and the extreme halophile &lt;i&gt;Halobacterium salinarum&lt;/i&gt;,"E.L. Martin, R.L. Reinhardt, L.L. Baum, M.R. Becker, J.J. Shaffer, T.A. Kokjohn",2000,10.1139/cjm-46-2-180,https://doi.org/10.1139/cjm-46-2-180,Canadian Science Publishing,journal-article,0,4
Ferguson Plot Analysis of Chaperone Clpb From Moderate Halophile,"Teruo Akuta, Yui Tomioka, Tomoto Ura, Masataka Nakagawa, Tsutomu Arakawa",2024,10.2139/ssrn.4891326,https://doi.org/10.2139/ssrn.4891326,Elsevier BV,posted-content,48,0
Genome sequence of an extreme halophile,Mark Pallen,2001,10.1016/s0966-842x(01)01953-9,https://doi.org/10.1016/s0966-842x(01)01953-9,Elsevier BV,journal-article,1,1
The effects of ultraviolet radiation on the moderate halophile<i>Halomonas elongata</i>and the extreme halophile<i>Halobacterium salinarum</i>,"E L Martin, R L Reinhardt, L L Baum, M R Becker, J J Shaffer, T A Kokjohn",2000,10.1139/w99-122,https://doi.org/10.1139/w99-122,Canadian Science Publishing,journal-article,23,25
Une nouvelle bactérie halophile,,2005,10.1016/s0338-9898(05)80148-9,https://doi.org/10.1016/s0338-9898(05)80148-9,Elsevier BV,journal-article,0,1
Structure and Function of the Acetylpolyamine Amidohydrolase from the Deep Earth Halophile Marinobacter subterrani,,,10.1021/acs.biochem.9b00582.s001,https://doi.org/10.1021/acs.biochem.9b00582.s001,American Chemical Society (ACS),component,0,0
Ferguson plot analysis of chaperone ClpB from moderate halophile,"Teruo Akuta, Yui Tomioka, Tomoto Ura, Masataka Nakagawa, Tsutomu Arakawa",2024,10.21203/rs.3.rs-4993116/v1,https://doi.org/10.21203/rs.3.rs-4993116/v1,Springer Science and Business Media LLC,posted-content,41,0
Hans Georg Trüper (1936–2016) and His Contributions to Halophile Research,Aharon Oren,2016,10.3390/life6020019,https://doi.org/10.3390/life6020019,MDPI AG,journal-article,52,1
"Hamdy, A., Lieth, H., Todorovič, M., Moschenko, M. (ed.): Halophyte Uses in Different Climates II. Halophyte Crop Development: Pilot Studies",I. Prášil,2000,10.1023/a:1002705706120,https://doi.org/10.1023/a:1002705706120,Institute of Experimental Botany,journal-article,0,0
DNA-Protein Complex from an Extreme Halophile: A Histone-Like Protein in Archaebacteria,"Masayuki Ohba, Tairo Oshima",1981,10.1007/978-94-009-8420-2_71,https://doi.org/10.1007/978-94-009-8420-2_71,Springer Netherlands,book-chapter,17,1
Brownish-yellow Discoloration of Salt Cod and Halophile Calcium-needing Micro-organisms,PÁLL OLAFSSON,1954,10.1038/1731143a0,https://doi.org/10.1038/1731143a0,Springer Science and Business Media LLC,journal-article,2,0
Successful Treatment of a Corrosive Acetic Acid Producing Halophile That Is Averse to Culture Media,"Christopher Rodriguez, Jason Hook, Shane Underwood",2021,10.5006/c2021-16718,https://doi.org/10.5006/c2021-16718,AMPP,proceedings-article,23,0
Feasibility of Halophyte Domestication for High-Salinity Agriculture,"J. Jed Brown, Edward P. Glenn, S. E. Smith",2014,10.1007/978-94-007-7411-7_5,https://doi.org/10.1007/978-94-007-7411-7_5,Springer Netherlands,book-chapter,43,8
From Halophyte Research to Halophytes Farming,"K. Ben Hamed, C. Magné, C. Abdelly",2014,10.1007/978-94-007-7411-7_9,https://doi.org/10.1007/978-94-007-7411-7_9,Springer Netherlands,book-chapter,33,5
Halophyte,,2008,10.1007/978-1-4020-6754-9_7310,https://doi.org/10.1007/978-1-4020-6754-9_7310,Springer Netherlands,book-chapter,0,0
Study on Synthesis of PHB by Moderate Halophile and Aqueous Extraction of PHB,"Qing Chen, Ling Hua Zhang",2013,10.4028/www.scientific.net/amm.448-453.160,https://doi.org/10.4028/www.scientific.net/amm.448-453.160,"Trans Tech Publications, Ltd.",journal-article,10,1
,,2021,10.54499/2021.06747.bd,https://doi.org/10.54499/2021.06747.bd,Fundacao para a Ciencia e a Tecnologia (unidadeFCCN),grant,0,0
World Halophyte Garden: Economic Dividends with Global Significance,"Benno Böer, M. Ajmal Khan, Kenneth B. Marcum",2014,10.1007/978-94-007-7411-7_25,https://doi.org/10.1007/978-94-007-7411-7_25,Springer Netherlands,book-chapter,3,3
Une Cochenille halophile en Tunisie,Paul Vayssière,1933,10.3406/bsef.1933.14529,https://doi.org/10.3406/bsef.1933.14529,Societe entomologique de France,journal-article,0,1
Halophyte,,2004,10.1002/0471684228.egp05443,https://doi.org/10.1002/0471684228.egp05443,Wiley,other,0,0
Prebiotic protein design supports a halophile origin of foldable proteins,"Liam M. Longo, Michael Blaber",2014,10.3389/fmicb.2013.00418,https://doi.org/10.3389/fmicb.2013.00418,Frontiers Media SA,journal-article,0,20
"Salt stimulation of growth and photosynthesis in an extreme halophyte, Arthrocnemum macrostachyum","S. Redondo-GÃ³mez, E. Mateos-Naranjo, M. E. Figueroa, A. J. Davy",2010,10.1111/j.1438-8677.2009.00207.x,https://doi.org/10.1111/j.1438-8677.2009.00207.x,Wiley,journal-article,40,183
Nouveautés de la flore halophile du Littoral croate,Andrija Ž. Lovrić,1971,10.1007/bf01377509,https://doi.org/10.1007/bf01377509,Springer Science and Business Media LLC,journal-article,10,2
Exploring the Potential of Halophyte Biomass for Green Biorefinery Applications,", , Laura Sini Sofia Hulkko",,10.54337/aau588627903,https://doi.org/10.54337/aau588627903,Aalborg University,dissertation,0,0
2598 halophyte [n],,2010,10.1007/978-3-540-76435-9_5862,https://doi.org/10.1007/978-3-540-76435-9_5862,Springer Berlin Heidelberg,book-chapter,0,0
Halophyte and glycophyte salt tolerance at germination and the establishment of halophyte shrubs in saline environments,"C.V. Malcolm, V.A. Lindley, J.W. O'Leary, H.V. Runciman, E.G. Barrett-Lennard",2003,10.1023/a:1024578002235,https://doi.org/10.1023/a:1024578002235,Springer Science and Business Media LLC,journal-article,38,65
,,2023,10.54499/prt/bd/154549/2022,https://doi.org/10.54499/prt/bd/154549/2022,Fundacao para a Ciencia e a Tecnologia (unidadeFCCN),grant,0,0
Structure determination of the glycolipid sulfate from the extreme halophile Halobacterium cutirubrum,"M. Kates, P.W. Deroo",1973,10.1016/s0022-2275(20)36877-2,https://doi.org/10.1016/s0022-2275(20)36877-2,Elsevier BV,journal-article,13,59
"<i>
              <scp>S</scp>
              alinibacter
            </i>
            , the Red Bacterial Extreme Halophile",Aharon Oren,2019,10.1002/9780470015902.a0028925,https://doi.org/10.1002/9780470015902.a0028925,Wiley,other,58,0
Development of novel halophyte-based biocide for mitigation of microbiologically influenced corrosion (mic),", Jakob Lykke Stein",,10.54337/aau743292599,https://doi.org/10.54337/aau743292599,Aalborg University,dissertation,0,0
Cultivation of halophyte plants,", Babaniyazov Bakhtiyar Jaksibekovich",2025,10.37547/ajahi/volume05issue03-05,https://doi.org/10.37547/ajahi/volume05issue03-05,The USA Journals,journal-article,0,1
Improving quality of metal-contaminated soils by some halophyte and non-halophyte forage plants,"Zheli Ding, Saif Alharbi, Yaser A. Almaroai, Mamdouh A. Eissa",2021,10.1016/j.scitotenv.2020.142885,https://doi.org/10.1016/j.scitotenv.2020.142885,Elsevier BV,journal-article,42,27
Sustainable Recovery of Lithium from Contaminated Soil through Halophyte Salt Excretion,,,10.1021/acs.est.5c03574.s001,https://doi.org/10.1021/acs.est.5c03574.s001,American Chemical Society (ACS),component,0,0
"Culture Studies on a Halophile Dunaliella salina from Tropical Solar Salterns, Bay of Bengal, India",Suman Keerthi,2018,10.1201/9781315154695-4,https://doi.org/10.1201/9781315154695-4,CRC Press,book-chapter,1,0
Halophile denitrifizierende Bakterien aus Sedimenten des Roten Meeres,"R. D. Heitzer, J. C. G. Ottow",1973,10.1007/bf00603261,https://doi.org/10.1007/bf00603261,Springer Science and Business Media LLC,journal-article,4,0
A potassium chloride to glycine betaine osmoprotectant switch in the extreme halophile Halorhodospira halophila,"Ratnakar Deole, Wouter D. Hoff",2020,10.1038/s41598-020-59231-9,https://doi.org/10.1038/s41598-020-59231-9,Springer Science and Business Media LLC,journal-article,65,35
Per- and Polyfluoroalkyl Substances Mitigation From Contaminated Groundwater Using Halophyte and Cow Bone Biochars,Bailey Papes,,10.37099/mtu.dc.etdr/1362,https://doi.org/10.37099/mtu.dc.etdr/1362,Michigan Technological University,dissertation,0,1
"Review for ""Variation in salinity tolerance and water use strategies in an introduced woody halophyte ( Tamarix spp.)""",,2021,10.1111/1365-2745.13758/v1/review2,https://doi.org/10.1111/1365-2745.13758/v1/review2,Wiley,peer-review,0,0
Study on Measures of Biomass Allocation of Two Desert Halophyte Species under Drought and Salt Stress,Hai-bo HE,2008,10.3724/sp.j.1148.2008.00242,https://doi.org/10.3724/sp.j.1148.2008.00242,China Science Publishing & Media Ltd.,journal-article,29,5
Dynamics of soil enzyme activity in the rhizosphere of desert halophyte,"Liang-Peng YI, Jian MA, Yan LI",2009,10.3724/sp.j.1011.2009.00500,https://doi.org/10.3724/sp.j.1011.2009.00500,China Science Publishing & Media Ltd.,journal-article,14,0
Purification and characterization of a GroEL homologue from the moderately eubacterial halophile Pseudomonas sp. #43,M Tokunaga,1997,10.1016/s0378-1097(97)00218-8,https://doi.org/10.1016/s0378-1097(97)00218-8,Oxford University Press (OUP),journal-article,0,1
Eco-physiological responses of  Aeluropus lagopoides  (grass halophyte) and  Suaeda nudiflora  (non-grass halophyte) under individual and interactive sodic and salt stress,"Ashwani Kumar, Arvind Kumar, C. Lata, S. Kumar",2016,10.1016/j.sajb.2015.12.006,https://doi.org/10.1016/j.sajb.2015.12.006,Elsevier BV,journal-article,60,52
Halophyte,,2020,10.1007/978-3-319-95981-8_300087,https://doi.org/10.1007/978-3-319-95981-8_300087,Springer International Publishing,book-chapter,0,0
An Antarctic Extreme Halophile and Its Polyextremophilic Enzyme: Effects of Perchlorate Salts,"Victoria J. Laye, Shiladitya DasSarma",2018,10.1089/ast.2017.1766,https://doi.org/10.1089/ast.2017.1766,SAGE Publications,journal-article,39,55
Salinity impacts on productivity and photosynthetic characteristics of halophyte Portulaca oleracea,Jie He,2020,10.46678/pb.20.1374656,https://doi.org/10.46678/pb.20.1374656,ASPB,proceedings-article,0,0
"Review for ""Variation in salinity tolerance and water use strategies in an introduced woody halophyte ( Tamarix spp.)""",,2021,10.1111/1365-2745.13758/v1/review1,https://doi.org/10.1111/1365-2745.13758/v1/review1,Wiley,peer-review,0,0
Characterization and Enhanced Production of PHB from a Halophyte-Associated Bacillus cereus Strain,,,10.1021/acsomega.5c10932.s001,https://doi.org/10.1021/acsomega.5c10932.s001,American Chemical Society (ACS),component,0,0
Microbiome of the halophyte Hordeum hystrix Roth. as a source of the halophilic PGP bacteria,Milica Dragojević,2020,10.26226/morressier.5f3392ca9d1718ca4c8b2f4c,https://doi.org/10.26226/morressier.5f3392ca9d1718ca4c8b2f4c,Morressier,posted-content,0,0
"Lieth H, Moschenko M, Lohmann M, Koyro H-W, Hamdy A, eds. 1999. Halophyte uses in different climates. I. Ecological and ecophysiological studies. 258 pp. Leiden: Backhuys Publishers. US$75.00 (softback). Hamdy AH, Lieth H, Todorovic M, Moschenko M, eds. 1999. Halophyte uses in different climates. II. Halophyte crop development: pilot studies. 160 pp. Leiden: Backhuys Publishers. US$47.25 (softback).",J Rozema,2001,10.1006/anbo.2000.1329,https://doi.org/10.1006/anbo.2000.1329,Oxford University Press (OUP),journal-article,0,0
"SODIUM-FLUX, ION-COMPARTMENTATION AND MEMBRANE-ULTRASTRUCTURE STUDIES RELATED TO PLANT SALT TOLERANCE (HALOPHYTE, ENDOCYTOSIS, SODIUM)",", TODD PETERSON",,10.23860/diss-3263,https://doi.org/10.23860/diss-3263,University of Rhode Island,dissertation,0,0
"Desalination, Water Re-use, and Halophyte Cultivation in Salinized Regions: A Highly Productive Groundwater Treatment System",,,10.1021/acs.est.3c02881.s001,https://doi.org/10.1021/acs.est.3c02881.s001,American Chemical Society (ACS),component,0,0
Aspergillus penicillioides—a true halophile existing in hypersaline and polyhaline econiches,"Sarita Nazareth, Valerie Gonsalves",2013,10.1007/s13213-013-0646-5,https://doi.org/10.1007/s13213-013-0646-5,Springer Science and Business Media LLC,journal-article,21,28
Problem of halophyte plant growing (in Russian),,1993,10.1016/0006-3207(93)90253-w,https://doi.org/10.1016/0006-3207(93)90253-w,Elsevier BV,journal-article,0,0
"Proteomic analysis of acidic chaperones, and stress proteins in extreme halophile Halobacterium NRC-1: a comparative proteomic approach to study heat shock response",Hem D Shukla,2006,10.1186/1477-5956-4-6,https://doi.org/10.1186/1477-5956-4-6,Springer Science and Business Media LLC,journal-article,54,28
"Biogenic amines degradation by moderate halophile, Brevibacillus sp. SK35","Sornchai Sinsuwan, Aungkawipa Montriwong, Sureelak Rodtong, Jirawat Yongsawatdigul",2010,10.1016/j.jbiotec.2010.09.297,https://doi.org/10.1016/j.jbiotec.2010.09.297,Elsevier BV,journal-article,0,6
Abstract 1265 Mutants on Mars: Directed Evolution of Halophile Enzyme Activity,"Caroline Quinn, Emma Proffitt, Kenneth Mills",2024,10.1016/j.jbc.2024.106154,https://doi.org/10.1016/j.jbc.2024.106154,Elsevier BV,journal-article,0,0
"The halophilic properties of pyruvate kinase fromVibrio costicola, a moderate halophile","Eveline de Médicis, B. Rossignol",1979,10.1007/bf01953183,https://doi.org/10.1007/bf01953183,Springer Science and Business Media LLC,journal-article,20,6
"Some properties of the citrate synthase from the extreme halophile, <i>Halobacterium cutirubrum</i>","A Higa, J J Cazzulo",1975,10.1042/bj1470267,https://doi.org/10.1042/bj1470267,Portland Press Ltd.,journal-article,0,16
Adequate potassium application enhances salt tolerance of moderate-halophyte Sophora alopecuroides,"D.D. Wei, D. Cheng, W.B. Liu, T. Liu, X.H. Yang, Y.H. Zheng",2015,10.17221/8357-pse,https://doi.org/10.17221/8357-pse,Czech Academy of Agricultural Sciences,journal-article,0,5
"PROBABLE AGENTS FOR THE FORMATION OF DETRITUS FROM THE HALOPHYTE, SPARTINA ALTERNIFLORA",Mallory S. May,1974,10.1016/b978-0-12-586450-3.50017-2,https://doi.org/10.1016/b978-0-12-586450-3.50017-2,Elsevier,book-chapter,18,6
The diverse influence of halophyte species on carbon sequestration capacity in salt-marshes,"Tegan Blount, Sonia Silvestri, Marco Marani, Andrea D'Alpaos",2025,10.5194/egusphere-egu24-18253,https://doi.org/10.5194/egusphere-egu24-18253,Copernicus GmbH,posted-content,0,0
"The adenosine triphosphatase from the moderate halophile,<i>Vibrio costicola</i>","Azucena I. Higa, Juan JosÃ© Cazzulo",1978,10.1111/j.1574-6968.1978.tb01907.x,https://doi.org/10.1111/j.1574-6968.1978.tb01907.x,Oxford University Press (OUP),journal-article,12,6
Halophyte Plant Diversity and Public Health,"Münir Öztürk, Volkan Altay, Moona Nazish, Mushtaq Ahmad, Muhammad Zafar",2023,10.1007/978-3-031-21944-3,https://doi.org/10.1007/978-3-031-21944-3,Springer International Publishing,book,0,7
BIOREFINERY OF CIRCULAR FEEDSTOCKS OF ORGANIC MUNICIPAL WASTE AND HALOPHYTE RESIDUAL BIOMASS FOR BIOFUELS AND FUNCTIONAL FEED PRODUCTION,", Stanislav Rudnyckyj",,10.54337/aau805586062,https://doi.org/10.54337/aau805586062,Aalborg University,dissertation,0,0
Production and biochemical characterization of an α-amylase from the moderate halophile Halomonas meridiana,M Coronado,2000,10.1016/s0378-1097(99)00628-x,https://doi.org/10.1016/s0378-1097(99)00628-x,Oxford University Press (OUP),journal-article,0,13
Purification and characterisation of a possible assimilatory nitrite reductase from the halophile archaeon Haloferax mediterranei,R Martínez-Espinosa,2001,10.1016/s0378-1097(01)00044-1,https://doi.org/10.1016/s0378-1097(01)00044-1,Oxford University Press (OUP),journal-article,0,38
Dataset of Endophytic bacterial inoculation enhances survival and photosynthetic performance of the halophyte Halocnemum strobilaceum seedlings,,2026,10.12795/11441/180600,https://doi.org/10.12795/11441/180600,Editorial Universidad de Sevilla,dataset,0,0
Cell envelope phospholipid changes in a moderate halophile during phenotypic adaptation to altered salinity and osmotic stress,N Russell,1986,10.1016/0378-1097(86)90067-4,https://doi.org/10.1016/0378-1097(86)90067-4,Oxford University Press (OUP),journal-article,0,1
"Review for ""Variation in salinity tolerance and water use strategies in an introduced woody halophyte ( Tamarix spp.)""",Nadia Santini,2021,10.1111/1365-2745.13758/v2/review1,https://doi.org/10.1111/1365-2745.13758/v2/review1,Wiley,peer-review,0,0
Soil microbial-mediated sulfur cycle and ecological network under typical desert halophyte shrubs,"Wenjing Li, Guanghui Lv, Dong Hu",2022,10.22541/au.165544417.79775826/v1,https://doi.org/10.22541/au.165544417.79775826/v1,Wiley,posted-content,0,0
The Halophyte Dehydrin Sequence Landscape,"Siwar Ghanmi, Steffen P. Graether, Moez Hanin",2022,10.3390/biom12020330,https://doi.org/10.3390/biom12020330,MDPI AG,journal-article,63,15
"Adiponectin-Secretion-Promoting Cyclic PeptidePolyketide Hybrids from a Halophyte-Associated Fungus, Colletotrichum gloeosporioides JS0417",,,10.1021/acs.jnatprod.1c01102.s001,https://doi.org/10.1021/acs.jnatprod.1c01102.s001,American Chemical Society (ACS),component,0,0
Comparison of Microbial Communities Associated with Halophyte (<i>Salsola stocksii</i>) and Non-Halophyte (<i>Triticum aestivum</i>) Using Culture-Independent Approaches,"SALMA MUKHTAR, AYESHA ISHAQ, SARA HASSAN, SAMINA MEHNAZ, MUHAMMAD S. MIRZA, KAUSER A. MALIK",2017,10.5604/01.3001.0010.4866,https://doi.org/10.5604/01.3001.0010.4866,Polish Society of Microbiologists,journal-article,52,38
Faculty Opinions recommendation of Analysis of protein solvent interactions in glucose dehydrogenase from the extreme halophile Haloferax mediterranei.,Shiladitya DasSarma,2006,10.3410/f.1031944.370843,https://doi.org/10.3410/f.1031944.370843,H1 Connect,dataset,0,0
Differential expression of genes influenced by changing salinity using RNA arbitrarily primed PCR in the archaeal halophile Haloferax volcanii,Kelly A. Bidle,2003,10.1007/s00792-002-0289-0,https://doi.org/10.1007/s00792-002-0289-0,Springer Science and Business Media LLC,journal-article,0,22
Faculty Opinions recommendation of A potassium chloride to glycine betaine osmoprotectant switch in the extreme halophile Halorhodospira halophila.,Michail Yakimov,2020,10.3410/f.737444950.793572178,https://doi.org/10.3410/f.737444950.793572178,H1 Connect,dataset,0,0
Ferguson Plot Analysis of Chaperone ClpB from Moderate Halophile,"Teruo Akuta, Yui Tomioka, Tomoto Ura, Masataka Nakagawa, Tsutomu Arakawa",2025,10.1007/s10930-024-10245-6,https://doi.org/10.1007/s10930-024-10245-6,Springer Science and Business Media LLC,journal-article,43,0
"The adenosine triphosphatase from the moderate halophile, Vibrio costicola",A Higa,1978,10.1016/0378-1097(78)90079-4,https://doi.org/10.1016/0378-1097(78)90079-4,Oxford University Press (OUP),journal-article,0,0
Salinity tolerance of different halophyte types,Siegmar-W. Breckle,1990,10.1007/978-94-009-2053-8_26,https://doi.org/10.1007/978-94-009-2053-8_26,Springer Netherlands,book-chapter,27,26
"Effect of Monovalent Cations on the Malic Enzyme from the Extreme Halophile,
            <i>Halobacterium cutirubrum</i>","Juan José Cazzulo, María Cristina Vidal",1972,10.1128/jb.109.1.437-439.1972,https://doi.org/10.1128/jb.109.1.437-439.1972,American Society for Microbiology,journal-article,8,15
Comparaison de différentes méthodes d'extraction d'acides dicaféoylquiniques à partir d'une plante halophile,"Lorène Gourguillon, Émilie Destandau, Annelise Lobstein, Éric Lesellier",2016,10.1016/j.crci.2016.03.009,https://doi.org/10.1016/j.crci.2016.03.009,MathDoc/Centre Mersenne,journal-article,30,13
Unusual salt and solvent dependence of a protease from an extreme halophile,"Jungbae Kim, Jonathan S. Dordick",1997,10.1002/(sici)1097-0290(19970805)55:3<471::aid-bit2>3.0.co;2-9,https://doi.org/10.1002/(sici)1097-0290(19970805)55:3<471::aid-bit2>3.0.co;2-9,Wiley,journal-article,24,61
"Bioreduction of Cr(VI) by Viable Cells and Cell-Free Extract of a Moderate Halophile, Halomonas Smyrnensis KS802 and Evaluation of Their in Vitro Efficacy in Tannery Effluent","Jhuma Biswas, AK Paul",2020,10.21203/rs.3.rs-135643/v1,https://doi.org/10.21203/rs.3.rs-135643/v1,Research Square Platform LLC,posted-content,0,0
8-Hydroxy-5-deazaflavin-dependent electron transfer in the extreme halophile,"L DEWIT, A EKER",1987,10.1016/0378-1097(87)90147-9,https://doi.org/10.1016/0378-1097(87)90147-9,Oxford University Press (OUP),journal-article,0,5
Characterization of NaCl-activated proteinases from moderate halophile isolated from fish sauce fermentation,"S. Sinsuwan, S. Rodtong, J. Yongsawatdigul",2009,10.1016/j.nbt.2009.06.280,https://doi.org/10.1016/j.nbt.2009.06.280,Elsevier BV,journal-article,0,0
"A Novel pH and Thermo-Tolerant Halophilic Alpha-amylase From Moderate Halophile Nesterenkonia Sp.Strain F: Gene Analysis, Molecular Cloning, Heterologous Expression and Biochemical Characterization","Nastarn Solat, mohammad shafiei",2021,10.21203/rs.3.rs-299039/v1,https://doi.org/10.21203/rs.3.rs-299039/v1,Springer Science and Business Media LLC,posted-content,0,0
"Dolichoiulus tongiorgii (Strasser), Diplopode halophile nouveau pour la faune de France. Remarques sur la classification des Pachyiulini (Myriapoda, Diplopoda, Iulida)",Jean-Paul Mauries,1982,10.5962/p.286047,https://doi.org/10.5962/p.286047,Biodiversity Heritage Library,journal-article,0,4
Blocked pollen release prevents fruit formation in the halophyte Elaeagnus angustifolia in non-saline habitats,"Jianrong Guo, Baoshan Wang",2020,10.21203/rs.3.rs-48371/v2,https://doi.org/10.21203/rs.3.rs-48371/v2,Springer Science and Business Media LLC,posted-content,0,0
Blocked pollen release prevents fruit formation in the halophyte Elaeagnus angustifolia in non-saline habitats,"Jianrong Guo, Baoshan Wang",2020,10.21203/rs.3.rs-48371/v2,https://doi.org/10.21203/rs.3.rs-48371/v2,Springer Science and Business Media LLC,posted-content,0,0
"Dolichoiulus tongiorgii (Strasser), Diplopode halophile nouveau pour la faune de France. Remarques sur la classification des Pachyiulini (Myriapoda, Diplopoda, Iulida)",Jean-Paul Mauries,1982,10.5962/p.286047,https://doi.org/10.5962/p.286047,Biodiversity Heritage Library,journal-article,0,4
The Halophile Protein Database,"N. Sharma, M. S. Farooqi, K. K. Chaturvedi, S. B. Lal, M. Grover, A. Rai, P. Pandey",2014,10.1093/database/bau114,https://doi.org/10.1093/database/bau114,Oxford University Press (OUP),journal-article,26,24
Abstract 1358: The influence of surface residues on the structure and activity of a salt-dependent halophile enzyme,Michelle Haigbea,2023,10.1016/j.jbc.2023.103589,https://doi.org/10.1016/j.jbc.2023.103589,Elsevier BV,journal-article,0,1
"Decision letter for ""Variation in salinity tolerance and water use strategies in an introduced woody halophyte ( Tamarix spp.)""",,2021,10.1111/1365-2745.13758/v3/decision1,https://doi.org/10.1111/1365-2745.13758/v3/decision1,Wiley,peer-review,0,0
Organic pollutants biodegradation by halophile-isolated bacteria in saline conditions,"Meryem Jemli, Fathi Aloui, Fatma Karray, Sami Sayadi",2018,10.5004/dwt.2018.22294,https://doi.org/10.5004/dwt.2018.22294,Elsevier BV,journal-article,42,2
"Decision letter for ""Variation in salinity tolerance and water use strategies in an introduced woody halophyte ( Tamarix spp.)""",,2021,10.1111/1365-2745.13758/v1/decision1,https://doi.org/10.1111/1365-2745.13758/v1/decision1,Wiley,peer-review,0,0
"Decision letter for ""Variation in salinity tolerance and water use strategies in an introduced woody halophyte ( Tamarix spp.)""",,2021,10.1111/1365-2745.13758/v2/decision1,https://doi.org/10.1111/1365-2745.13758/v2/decision1,Wiley,peer-review,0,0
Blocked Pollen Release Prevents Fruit Formation in the Halophyte Elaeagnus Angustifolia in Non-Saline Habitats,"Jianrong Guo, Baoshan Wang",2020,10.21203/rs.3.rs-48371/v1,https://doi.org/10.21203/rs.3.rs-48371/v1,Springer Science and Business Media LLC,posted-content,0,0
,,2019,10.3030/862834,https://doi.org/10.3030/862834,Publications Office of the European Union,grant,0,0
The Ionic Relations of Seedlings of the Halophyte Triglochin maritima L.,R.L. Jefferies,1973,10.1016/b978-0-12-058250-1.50032-4,https://doi.org/10.1016/b978-0-12-058250-1.50032-4,Elsevier,book-chapter,43,27
Proline implicated in halophyte osmotic adjustment,Peter D. Moore,1975,10.1038/253399b0,https://doi.org/10.1038/253399b0,Springer Science and Business Media LLC,journal-article,0,5
Is Any Angiosperm an Obligate Halophyte?,Michael G. Barbour,1970,10.2307/2423730,https://doi.org/10.2307/2423730,JSTOR,journal-article,0,69
Unusual salt and solvent dependence of a protease from an extreme halophile,"Jungbae Kim, Jonathan S. Dordick",1997,10.1002/(sici)1097-0290(19970805)55:3<471::aid-bit2>3.3.co;2-d,https://doi.org/10.1002/(sici)1097-0290(19970805)55:3<471::aid-bit2>3.3.co;2-d,Wiley,journal-article,0,0
Abstract 1386: Evolutionary Advantage to Protein Splicing in an Extreme Halophile,"Beatrice Barbesino, Kenneth Mills, Patrick Exconde, C.J. Janton",2023,10.1016/j.jbc.2023.104010,https://doi.org/10.1016/j.jbc.2023.104010,Elsevier BV,journal-article,0,0
Sialic Acid-Like Sugars in Archaea: Legionaminic Acid Biosynthesis in the Halophile Halorubrum sp. PV6,"Marianna Zaretsky, Elina Roine, Jerry Eichler",2018,10.3389/fmicb.2018.02133,https://doi.org/10.3389/fmicb.2018.02133,Frontiers Media SA,journal-article,73,19
